kayak_id	cust_id	day_number	day	duration_hours	notes
15	5	66	Tues	5.25	helpful fun
17	6	66	Tues	2	helpful satisfied
18	16	66	Tues	1.5	friendly
9	14	67	Wed	2	
15	15	67	Wed	2	tips friendly
13	1	68	Thur	1.25	fun
13	16	68	Thur	6	tired
5	13	69	Fri	4.25	
8	15	69	Fri	2	helpful
12	7	69	Fri	0.5	helpful no-show lost-paddle
15	18	69	Fri	0.6	tips fun tired no-show damage
18	5	69	Fri	1.25	careful late
18	14	69	Fri	2	bored
20	14	69	Fri	1.5	rude
4	18	70	Sat	2	tips satisfied bored
7	2	70	Sat	1.5	
7	12	70	Sat	4	careful argued
9	8	70	Sat	2	helpful polite
10	4	70	Sat	4.25	careful fun hot no-show
11	4	70	Sat	1.5	polite tired
11	5	70	Sat	2	helpful bored
11	17	70	Sat	2.5	helpful fun
12	11	70	Sat	1	helpful damage
13	1	70	Sat	7	tips
14	13	70	Sat	1.25	
16	11	70	Sat	2	tips injured
16	13	70	Sat	2.5	tips
17	12	70	Sat	1	tips rescue-required
19	6	70	Sat	2.5	tips friendly bored
20	3	70	Sat	4.5	helpful hot
20	10	70	Sat	2	argued
20	17	70	Sat	1.5	careful polite
5	1	71	Sun	6.5	
5	19	71	Sun	1.25	helpful polite argued
7	5	71	Sun	1	tips rude
7	8	71	Sun	6	happy tired
7	20	71	Sun	5.25	bored rescue-required
8	12	71	Sun	2	hot
9	1	71	Sun	2	happy
10	18	71	Sun	4	careful friendly hot argued rescue-required
12	2	71	Sun	2.1	
13	2	71	Sun	1.25	
13	4	71	Sun	2	hot
14	11	71	Sun	1.5	tips tipped-over
19	10	71	Sun	1	friendly
20	20	71	Sun	1.75	injured
16	8	72	Mon	3.75	fun
1	16	73	Tues	1	
3	3	73	Tues	1	friendly
4	16	73	Tues	5.25	friendly argued
5	10	73	Tues	1.25	late
5	13	73	Tues	5.25	friendly
5	17	73	Tues	5.25	helpful happy
5	20	73	Tues	2	rescue-required
10	9	73	Tues	1.25	satisfied
12	11	73	Tues	1.75	careful damage
14	3	73	Tues	2	helpful happy bored no-show
15	4	73	Tues	1.5	bored
16	1	73	Tues	0.75	helpful fun bored
16	7	73	Tues	5	rude
17	8	73	Tues	3.75	helpful fun bored
18	10	73	Tues	4.5	rude
5	18	74	Wed	2	careful friendly tired rude injured
2	3	75	Thur	6	bored argued
5	20	75	Thur	2	bored damage
6	20	75	Thur	1.25	late tipped-over
13	3	75	Thur	1.5	satisfied bored
14	14	75	Thur	1.25	
17	8	75	Thur	1	helpful happy tired
18	20	75	Thur	0.6	tipped-over
